stop_id,lat,lon
HUDJOYW,40.013532,-82.962261
CLEHUDS,40.013425,-82.967624
CLEGENS,40.019214,-82.965118
CLEWEBS,40.02293,-82.964823
CLEOAKS,40.03154,-82.964134
OAKOAKE,40.031454,-82.968596
OAKHAME,40.031912,-82.977745
OAKNORE,40.031637,-82.972157
OAKONTE,40.031792,-82.97521
OAKATWE,40.032227,-82.984206
OAKOSCE,40.0324,-82.987982
OAKMAIE,40.032495,-82.989805
OAKEISE,40.032637,-82.993264
EISNORN,40.031148,-82.993531
NORINDE,40.031273,-83.001409
NOR411E,40.031314,-83.004264
NORCALE,40.031408,-83.008564
NOR169E,40.031447,-83.010737
NORHIGE,40.031534,-83.016201
NORMILE,40.031635,-83.021429
NOROLEE,40.030904,-83.029716
OLE3440S,40.029064,-83.029427
