stop_id,lat,lon
HUDJOYW,40.013532,-82.962261
HUDJOYE,40.01338,-82.962355
HUDCLEE,40.013608,-82.96765
HUDDREE,40.013809,-82.972296
HUDONTE,40.014002,-82.976693
MCGHUDS,40.013916,-82.981472
MCGBRIS,40.01696,-82.981591
MCGGENS,40.019182,-82.98159
MCGABES,40.021554,-82.981608
MCGWEBS,40.023662,-82.981499
MCGCOMS,40.025701,-82.981291
MCGWELS,40.027801,-82.981064
OAKATWE,40.032227,-82.984206
OAKOSCE,40.0324,-82.987982
OAKMAIE,40.032495,-82.989805
OAKEISE,40.032637,-82.993264
EISNORN,40.031148,-82.993531
NORINDE,40.031273,-83.001409
NOR411E,40.031314,-83.004264
NORCALE,40.031408,-83.008564
NOR169E,40.031447,-83.010737
NORHIGE,40.031534,-83.016201
NORMILE,40.031635,-83.021429
NOROLEE,40.030904,-83.029716
OLE3440S,40.029064,-83.029427
